Line,发布状态,Chip,工作电压,工作温度,主频,Flash,SRAM,DFlash,引脚数,GPIO个数,HSIO引脚数,5T引脚数,TTL引脚数,IWDT,WWDT,BT,FRT,RTC,GPTA,GPTB,UART,SPI,I2C,SIO,ADC,CMP（模拟比较器）,INTVREF(内部电压参考),DeepSleep电流,CRC（校验控制器）,DMA,ETCB（事件触发控制器）,封装,备注
APT32F031X,1,APT32F0311K8T6,1.8~5.5V,-40~85℃,72MHz,64KB,8KB,2KB,32,30,8,4,2,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,144MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,28ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,LQFP32,
APT32F031X,1,APT32F0311K6T6,1.8~5.5V,-40~85℃,72MHz,32KB,8KB,2KB,32,30,8,4,2,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,144MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,28ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,LQFP32,
APT32F031X,1,APT32F0311K8W6,1.8~5.5V,-40~85℃,72MHz,64KB,8KB,2KB,32,31,8,4,2,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,144MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,28ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,QFN32,
APT32F031X,0,APT32F0311K6W6,1.8~5.5V,-40~85℃,72MHz,32KB,8KB,2KB,32,31,8,4,2,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,144MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,28ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,QFN32,
APT32F031X,,APT32F0312H8W6,1.8~5.5V,-40~85℃,48MHz,64KB,8KB,2KB,24,23,7,3,2,1,1,(1PWM)x2,1,0,(2PWM)x1,"(2PWM,48MHz)x3",3,1,1,0,"(12bit,1MSPS)x1,22ch",0,1.5/2.5V,5uA,1,(2ch)x1,8ch,QFN24,
APT32F031X,,APT32F0312H6W6,1.8~5.5V,-40~85℃,48MHz,32KB,8KB,2KB,24,23,7,3,2,1,1,(1PWM)x2,1,0,(2PWM)x1,"(2PWM,48MHz)x3",3,1,1,0,"(12bit,1MSPS)x1,22ch",0,1.5/2.5V,5uA,1,(2ch)x1,8ch,QFN24,
APT32F031X,,APT32F0313K8T8,1.8~5.5V,-40~105℃,72MHz,64KB,8KB,2KB,32,30,8,4,2,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,72MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,28ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,LQFP32,
APT32F031X,,APT32F0313K8U8,1.8~5.5V,-40~105℃,72MHz,64KB,8KB,2KB,32,31,8,4,2,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,72MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,28ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,QFN32,
APT32F031X,1,APT32F0311F8U6,1.8~5.5V,-40~85℃,72MHz,64KB,8KB,2KB,20,19,4,3,1,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,144MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,17ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,QFN20,
APT32F031X,1,APT32F0311F6U6,1.8~5.5V,-40~85℃,72MHz,32KB,8KB,2KB,20,19,4,3,1,1,1,(1PWM)x3,1,1,(2PWM)x1,"(2PWM,144MHz)x3",3,1,1,1,"(12bit,1MSPS)x1,17ch",2,1.5/2.5V,5uA,1,(2ch)x1,8ch,QFN20,
