Line,发布状态,Chip,工作电压,工作温度,主频,Flash,SRAM,DFlash,引脚数,GPIO个数,HSIO引脚数,TTL引脚数,IWDT,WWDT,BT,CounterA,RTC,LPT,EPT,GPTA,CORET,UART,SPI,I2C,SIO,ADC,TOUCH通道,INTVREF(内部电压参考),FVR(固定电压源),DeepSleep电流,CRC（校验控制器）,ETCB（事件触发控制器）,HWDIV（硬件除法器）,封装,备注
APT32F102X,,APT32F1021F6U6,1.8~5.5V,-40~85℃,48MHz,32KB,4KB,2KB,20,18,4,-,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,2,1,1,1,"(12bit,1MSPS,16ch) x 1",15ch,1.0V,2.048/4.096V,10uA,1,8ch,不支持,QFN20,
APT32F102X,1,APT32F1021E6M6,1.8~5.5V,-40~85℃,48MHz,32KB,4KB,2KB,16,14,4,-,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,2,1,1,1,"(12bit,1MSPS,12ch) x 1",11ch,1.0V,2.048/4.096V,10uA,1,8ch,不支持,SOP16,
APT32F102X,1,APT32F1023H8S6,1.8~5.5V,-40~85℃,48MHz,64KB,4KB,2KB,24,22,4,11,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",17ch,1.0V,2.048/4.096V,10uA,1,8ch,支持,SSOP24,
APT32F102X,1,APT32F1023H8M6,1.8~5.5V,-40~85℃,48MHz,64KB,4KB,2KB,24,22,4,11,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",17ch,1.0V,2.048/4.096V,10uA,1,8ch,支持,SOP24,
APT32F102X,1,APT32F1023H8U6,1.8~5.5V,-40~85℃,48MHz,64KB,4KB,2KB,24,22,4,11,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",17ch,1.0V,2.048/4.096V,10uA,1,8ch,支持,QFN24,
APT32F102X,0,APT32F1023F8M6,1.8~5.5V,-40~85℃,48MHz,64KB,4KB,2KB,20,18,4,9,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",15ch,1.0V,2.048/4.096V,10uA,1,8ch,支持,SOP20,
APT32F102X,1,APT32F1023F8U6,1.8~5.5V,-40~85℃,48MHz,64KB,4KB,2KB,20,18,4,9,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",15ch,1.0V,2.048/4.096V,10uA,1,8ch,支持,QFN20,
APT32F102X,,APT32F1023F6U6,1.8~5.5V,-40~85℃,48MHz,32KB,4KB,2KB,20,18,4,9,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",15ch,1.0V,2.048/4.096V,10uA,1,8ch,支持,QFN20,
APT32F102X,0,APT32F1023E6M6,1.8~5.5V,-40~85℃,48MHz,32KB,4KB,2KB,16,14,4,7,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,12ch) x 1",11ch,1.0V,2.048/4.096V,10uA,1,8ch,支持,SOP16,
APT32F102X,1,APT32F1023BH8S6,1.8~5.5V,-40~85℃,24MHz,64KB,4KB,2KB,24,22,4,11,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",17ch,1.0V,2.048/4.096V,10uA,1,8ch,不支持,SSOP24,
APT32F102X,1,APT32F1023BH8M6,1.8~5.5V,-40~85℃,24MHz,64KB,4KB,2KB,24,22,4,11,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",17ch,1.0V,2.048/4.096V,10uA,1,8ch,不支持,SOP24,
APT32F102X,1,APT32F1023BH8U6,1.8~5.5V,-40~85℃,24MHz,64KB,4KB,2KB,24,22,4,11,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",17ch,1.0V,2.048/4.096V,10uA,1,8ch,不支持,QFN24,
APT32F102X,1,APT32F1023BF8U6,1.8~5.5V,-40~85℃,24MHz,64KB,4KB,2KB,20,18,4,9,1,1,(1PWM) x 2,1,1,1,(7PWM) x 1,(2PWM) x 1,1,3,1,1,1,"(12bit,1MSPS,16ch) x 1",15ch,1.0V,2.048/4.096V,10uA,1,8ch,不支持,QFN20,
