Line,发布状态,Chip,工作电压,工作温度,主频,Flash,SRAM,DFlash,引脚数,GPIO个数,HSIO引脚数,TTL引脚数,IWDT,WWDT,BT,TC3,GPTA,GPTB,UART,SPI,I2C,ADC,TOUCH通道,INTVREF(内部电压参考),DeepSleep电流,LED矩阵,LED点阵,ETCB（事件触发控制器）,封装,备注
APT32F104X,1,APT32F1040G6M6,1.8~5.5V,-40~85℃,24MHz,32KB,3KB,2KB,28,26,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,/,1,"(12bit,1MSPS)x1,26ch",26ch,1.2/2.5V,4uA,9comx11seg/4comx16seg,8x9,/,SOP28,
APT32F104X,1,APT32F1040G6S6,1.8~5.5V,-40~85℃,24MHz,32KB,3KB,2KB,28,26,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,/,1,"(12bit,1MSPS)x1,26ch",26ch,1.2/2.5V,4uA,9comx11seg/4comx16seg,8x9,/,SSOP28,
APT32F104X,1,APT32F1040H6S6,1.8~5.5V,-40~85℃,24MHz,32KB,3KB,2KB,24,22,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,/,1,"(12bit,1MSPS)x1,22ch",22ch,1.2/2.5V,4uA,9comx9seg/4comx14seg,8x9,/,SSOP24,
APT32F104X,1,APT32F1040F6M6,1.8~5.5V,-40~85℃,24MHz,32KB,3KB,2KB,20,18,8,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,/,1,"(12bit,1MSPS)x1,18ch",18ch,1.2/2.5V,4uA,8comx8seg/3comx13seg,7x7,/,SOP20,
APT32F104X,1,APT32F1041G7M6,1.8~5.5V,-40~85℃,48MHz,48KB,3KB,2KB,28,26,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,26ch",26ch,1.2/2.5V,4uA,9comx11seg/4comx16seg,8x9,6ch,SOP28,
APT32F104X,1,APT32F1041H7S6,1.8~5.5V,-40~85℃,48MHz,48KB,3KB,2KB,24,22,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,22ch",22ch,1.2/2.5V,4uA,9comx9seg/4comx14seg,8x9,6ch,SSOP24,
APT32F104X,1,APT32F1041F7M6,1.8~5.5V,-40~85℃,48MHz,48KB,3KB,2KB,20,18,8,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,18ch",18ch,1.2/2.5V,4uA,8comx8seg/3comx13seg,7x7,6ch,SOP20,
APT32F104X,1,APT32F1041E7M6,1.8~5.5V,-40~85℃,48MHz,48KB,3KB,2KB,16,14,7,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,14ch",14ch,1.2/2.5V,4uA,7comx5seg/2comx10seg,6x7,6ch,SOP16,
APT32F104X,1,APT32F1041E4M6,1.8~5.5V,-40~85℃,48MHz,16KB,3KB,2KB,16,14,7,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,14ch",14ch,1.2/2.5V,4uA,7comx5seg/2comx10seg,6x7,6ch,SOP16,
APT32F104X,,APT32F1042G7M6,1.8~5.5V,-40~85℃,48MHz,48KB,3KB,2KB,28,26,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,26ch",26ch,1.2/2.5V,4uA,9comx11seg/4comx16seg,8x9,6ch,SOP28,
APT32F104X,,APT32F1043G7M6,1.8~5.5V,-40~85℃,48MHz,48KB,3KB,2KB,28,26,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,26ch",26ch,1.2/2.5V,4uA,9comx11seg/4comx16seg,8x9,6ch,SOP28,
APT32F104X,,APT32F1044G7M6,1.8~5.5V,-40~85℃,48MHz,48KB,3KB,2KB,28,26,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,26ch",26ch,1.2/2.5V,4uA,9comx11seg/4comx16seg,8x9,6ch,SOP28,
APT32F104X,,APT32F1044G4M6,1.8~5.5V,-40~85℃,48MHz,16KB,3KB,2KB,28,26,9,2,1,1,(1PWM)x4,1,(1PWM)x1,(2PWM)x1,2,1,1,"(12bit,1MSPS)x1,26ch",26ch,1.2/2.5V,4uA,9comx11seg/4comx16seg,8x9,6ch,SOP28,
