Line,发布状态,Chip,工作电压,工作温度,主频,Flash,SRAM,DFlash,引脚数,GPIO个数,HSIO引脚数,TTL引脚数,IWDT,WWDT,BT,CounterA,RTC,LPT,EPT,GPTA,GPTB,CORET,UART,USART,SPI,I2C,SIO,ADC,TOUCH通道,INTVREF(内部电压参考),FVR(固定电压源),CMP（模拟比较器）,DeepSleep电流,Shutdown电流,LED矩阵,LCD驱动,CRC（校验控制器）,HWDIV（硬件除法器）,ETCB（事件触发控制器）,封装,备注
APT32F110X,1,APT32F1101C8T6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,48,44,10,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 19ch",/,1.0V,/,2,10uA,1.5uA,10comx8seg,/,1,支持,12ch,LQFP48,
APT32F110X,1,APT32F1101C8U6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,48,44,10,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 19ch",/,1.0V,/,2,10uA,1.5uA,10comx8seg,/,1,支持,12ch,QFN48,
APT32F110X,1,APT32F1101K8T6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,32,29,6,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 12ch",/,1.0V,/,2,10uA,1.5uA,6comx8seg,/,1,支持,12ch,LQFP32,
APT32F110X,1,APT32F1101K8U6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,32,29,6,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 12ch",/,1.0V,/,2,10uA,1.5uA,6comx8seg,/,1,支持,12ch,QFN32,
APT32F110X,1,APT32F1103C8T6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,48,44,10,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 19ch",32ch,1.0V,/,2,10uA,1.5uA,10comx8seg,8comx26seg或4comx30seg,1,支持,12ch,LQFP48,
APT32F110X,1,APT32F1103C8U6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,48,44,10,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 19ch",32ch,1.0V,/,2,10uA,1.5uA,10comx8seg,8comx26seg或4comx30seg,1,支持,12ch,QFN48,
APT32F110X,1,APT32F1103S8T6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,44,41,10,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 17ch",30ch,1.0V,/,2,10uA,1.5uA,10comx8seg,8comx24seg或4comx28seg,1,支持,12ch,LQFP44,
APT32F110X,1,APT32F1103K8T6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,32,29,6,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 12ch",20ch,1.0V,/,2,10uA,1.5uA,6comx8seg,8comx15seg或4comx19seg,1,支持,12ch,LQFP32,
APT32F110X,1,APT32F1103K8U6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,32,29,6,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 12ch",20ch,1.0V,/,2,10uA,1.5uA,6comx8seg,8comx15seg或4comx19seg,1,支持,12ch,QFN32,
APT32F110X,1,APT32F1104C8T6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,48,44,10,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 19ch",/,1.0V,/,2,10uA,1.5uA,/,8comx26seg或4comx30seg,1,支持,12ch,LQFP48,
APT32F110X,1,APT32F1104K8U6,1.8~5.5V,-40~85℃,48MHz,64KB,8+0.25KB,2KB,32,29,6,/,1,1,(1PWM)x2,1,1,1,(7PWM)x1,(2PWM)x2,(3PWM)x2,1,3,1,1,1,1,"(12bit,1MSPS)x1, 12ch",/,1.0V,/,2,10uA,1.5uA,/,8comx15seg或4comx19seg,1,支持,12ch,QFN32,
