Line,发布状态,Chip,工作电压,工作温度,主频,Flash,SRAM,DFlash,引脚数,GPIO个数,5T引脚数,TTL引脚数,IWDT,WWDT,BT,TC3,EPT,GPTA,GPTB,UART,SPI,I2C,ADC,DAC,CMP（模拟比较器）,OPA（运算放大器）,INTVREF(内部电压参考),FVR(固定电压源),DeepSleep电流,HWAccel.（支持开方和除法的加速器）,CRC（校验控制器）,DMA,ETCB（事件触发控制器）,封装,备注
APT32F170X,1,APT32F1701K7U8,1.8~5.5V,-40~105℃,72MHz,48KB,12KB,2KB,32,30,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,26ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,QFN32,
APT32F170X,1,APT32F1701G7P8,1.8~5.5V,-40~105℃,72MHz,48KB,12KB,2KB,28,26,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,26ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,TSSOP28,
APT32F170X,1,APT32F1701G7U8,1.8~5.5V,-40~105℃,72MHz,48KB,12KB,2KB,28,26,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,26ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,QFN28,
APT32F170X,1,APT32F1701H7S8,1.8~5.5V,-40~105℃,72MHz,48KB,12KB,2KB,24,22,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,22ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,SSOP24,
APT32F170X,1,APT32F1701H7U8,1.8~5.5V,-40~105℃,72MHz,48KB,12KB,2KB,24,22,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,22ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,QFN24,
APT32F170X,,APT32F1701F7P8,1.8~5.5V,-40~105℃,72MHz,48KB,12KB,2KB,20,18,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,18ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,TSSOP20,
APT32F170X,,APT32F1701F7U8,1.8~5.5V,-40~105℃,72MHz,48KB,12KB,2KB,20,18,4,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,18ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,QFN20,
APT32F170X,1,APT32F1701BG7P8,1.8~5.5V,-40~105℃,48MHz,48KB,8KB,2KB,28,26,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,26ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,TSSOP28,
APT32F170X,1,APT32F1701BG7U8,1.8~5.5V,-40~105℃,48MHz,48KB,8KB,2KB,28,26,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,26ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,QFN28,
APT32F170X,1,APT32F1701BH7S8,1.8~5.5V,-40~105℃,48MHz,48KB,8KB,2KB,24,22,6,2,1,1,(1PWM)x4,1,(6PWM)x1,(2PWM)x2,(2PWM)x1,2,1,1,"(12bit,2.25MSPS)x1,22ch",(10bit)x1,"2
",2,1.5/2.5V,2.048/3.072/4.096V,5uA,支持,1,"1,2ch",8ch,SSOP24,
