Line,发布状态,Chip,工作电压,工作温度,主频,Flash,SRAM,DFlash,引脚数,GPIO个数,HSIO引脚数,TTL引脚数,IWDT,WWDT,BT,CounterA,RTC,LPT,GPTA,GPTB,UART,USART,SPI,I2C,SIO,CAN,ADC,DAC,CMP（模拟比较器）,OPA（运算放大器）,INTVREF(内部电压参考),FVR(固定电压源),DeepSleep电流,LED矩阵,CRC（校验控制器）,DMA,ETCB（事件触发控制器）,封装,备注
APT32F173X,1,APT32F1731BK8U8,1.8~5.5V,-40~105℃,105MHz,64KB,16KB,8KB,32,29,10,4,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,22ch",(10bit)x1,3,2,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,QFN32,
APT32F173X,1,APT32F1731BK8T8,1.8~5.5V,-40~105℃,105MHz,64KB,16KB,8KB,32,29,10,4,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,22ch",(10bit)x1,3,2,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,LQFP32,
APT32F173X,1,APT32F1731BC8T8,1.8~5.5V,-40~105℃,105MHz,64KB,16KB,8KB,48,40,10,8,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,33ch",(10bit)x1,3,2,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,LQFP48,
APT32F173X,1,APT32F1730C8T8,1.8~5.5V,-40~105℃,72MHz,64KB,16KB,8KB,48,40,10,8,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,33ch",(10bit)x1,3,0,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,LQFP48,
APT32F173X,1,APT32F1730R8T8,1.8~5.5V,-40~105℃,72MHz,64KB,16KB,8KB,64,54,14,14,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,47ch",(10bit)x1,3,0,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,LQFP64,
APT32F173X,1,APT32F1730K8U8,1.8~5.5V,-40~105℃,72MHz,64KB,16KB,8KB,32,29,10,4,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,22ch",(10bit)x1,3,0,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,QFN32,
APT32F173X,1,APT32F1730K8T8,1.8~5.5V,-40~105℃,72MHz,64KB,16KB,8KB,32,29,10,4,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,22ch",(10bit)x1,3,0,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,LQFP32,
APT32F173X,1,APT32F1731K8U6,1.8~5.5V,-40~85℃,105MHz,64KB,16KB,8KB,32,29,10,4,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,22ch",(10bit)x1,3,4,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,QFN32,
APT32F173X,1,APT32F1731K8U8,1.8~5.5V,-40~105℃,105MHz,64KB,16KB,8KB,32,29,10,4,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,22ch",(10bit)x1,3,4,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,QFN32,
APT32F173X,1,APT32F1731K8T8,1.8~5.5V,-40~105℃,105MHz,64KB,16KB,8KB,32,29,10,4,1,1,(1PWM)x4,1,1,1,(2PWM)x4,(3PWM)x6,3,2,2,1,2,1,"(12bit,3MSPS)x1,22ch",(10bit)x1,3,4,1.0V,2.048/3.072/4.096V,64uA,10comx8seg,1,(6ch)x2,32ch,LQFP32,
